Titre;Période (conseillée);Volume (en mots);Code API;Longueur max;Résolution;Seuils
Le Monde;1944-2023;1,5 milliards;lemonde;4gram;Journalière;Aucun
Presse de Gallica;1789-1950;57 milliards;presse;3gram;Mensuelle;2gram>1,3gram>1
Livres de Gallica;1600-1940;16 milliards;livres;5gram;Annuelle;2gram>1, etc
Deutsches Zeitungsportal (DDB);1780-1950;39 milliards;ddb;2gram;Mensuelle;1gram > 1, 2gram>2
American Stories;1798-1963;20 milliards;american_stories;3gram;Annuelle (mensuelle à venir ?);1gram>1,2gram>2,3gram>3
Journal de Paris;1777-1827;86 millions;paris;2gram;Journalière;2gram>1
Moniteur Universel;1789-1869;511 millions;moniteur;2gram;Journalière;2gram>1
Journal des Débats;1789-1944;1,2 milliards;journal_des_debats;1gram;Journalière;Aucun
La Presse;1836-1869;253 millions;la_presse;2gram;Journalière;2gram>1
Le Constitutionnel;1821-1913 (très lacunaire);64 millions;constitutionnel;2gram;Journalière;2gram>1
Le Figaro;1854-1952;870 millions;figaro;2gram;Journalière;2gram>1
Le Temps;1861-1942;1 milliard;temps;2gram;Journalière;2gram>1
Le Petit Journal;1863-1942;745 millions;petit_journal;2gram;Journalière;2gram>1
Le Petit Parisien;1876-1944;631 millions;petit_parisien;2gram;Journalière;2gram>1
L’Humanité;1904-1952;318 millions;huma;2gram;Journalière;2gram>1
Opensubtitles (français);1935-2020;17 millions;substitles;3gram;Annuelle;Aucun
Opensubtitles (anglais);1930-2020;102 millions;subtitles_en;3gram;Annuelle;Aucun